<b>Bank</b>	<b>Telephone</b>	<b>BLR</b>	<b>Home Loan</b>	<b>Max Margin</b>	<b>Remarks</b>
Arab-Malaysia Bank Berhad	03-4978899	6.8%	4.25%	90%	-
Arab-Malaysia Bank Berhad	03-4978899	6.8%	4.25%	95%	-
Bsn Commercial Bank	03-2934686	6.8%	5.00%	100%	Houses below RM150,000
Bsn Commercial Bank	03-2934686	6.8%	5.00%	95%	Houses from RM150,000 to RM350,000
Bumiputra Commerce	03-2015555	6.8%	4.95%	95%	Flat/Apartment below RM100k
Bumiputra Commerce	03-2015555	6.8%	4.95%	85%	Landed/Apartment RM100k to RM250k
Bumiputra Commerce	03-2015555	6.8%	4.95%	80%	Landed/Condo RM250k to RM500k
Hong Leong Bank Berhad	03-21642828	6.8%	4.99%	80%	Condo & Landed
Hong Leong Bank Berhad	03-21642828	6.8%	4.99%	90%	Special Housing Loan
Hong Leong Bank Berhad	03-21642828	6.8%	4.99%	-	Shophouse
HSBC Bank Malaysia Berhad	03-2300744	6.8%	4.30%	90%	Houses Above RM500k
Malayan Banking Berhad	03-2308833	6.5%	4.50%	90%	Income below RM3,000 (It must 1st house)
OCBC Bank	03-2920344	6.8%	4.48%	-	Houses above RM100,000
Overseas Union Bank	03-2068822	6.8%	4.50%	95%	Houses below RM250,000
Overseas Union Bank	03-2068822	6.8%	4.50%	80%	Houses above RM250,000 & below RM500,000
Phileo Allied Bank	03-21675566	6.8%	4.25%	100%	-
Perwira Affin Bank	03-20559000	6.8%	4.75%	90%	Houses below RM100k
Perwira Affin Bank	03-20559000	6.8%	4.75%	85%	Houses  RM250k to RM500k
Perwira Affin Bank	03-20559000	6.8%	4.75%	95%	BNM Prescribed Rate - Houses below RM100k / Two Tier Rate - RM250k below / One Tier Rate - RM250k below
Perwira Affin Bank	03-20559000	6.8%	4.75%	85%	Two Tier Rate - RM250k above / One Tier Rate - RM250k above
Public Bank	03-21638888	6.8%	4.30%	95%	Houses below RM250k
Public Bank	03-21638888	6.8%	4.30%	85%	Houses above RM250k to RM500k
Public Bank	03-21638888	6.8%	4.30%	80%	Houses above RM500k
RHB Bank Berhad	03-9878888	6.55%	4.95%	90%	Without MRTA Financing - Houses below RM250k
RHB Bank Berhad	03-9878888	6.55%	4.95%	95%	With MRTA Financing - Houses below RM250k
RHB Bank Berhad	03-9878888	6.55%	4.95%	85%	Without MRTA Financing - Houses RM250,001 to RM500,000
RHB Bank Berhad	03-9878888	6.55%	4.95%	90%	With MRTA Financing - Houses RM250,001 to RM500,000
RHB Bank Berhad	03-9878888	6.55%	4.95%	70%	Without MRTA Financing - Houses above RM500,001
Stadard Chartered Bank	03-2381000	6.8%	4.00%	-	Houses RM100k (Under construction)
Stadard Chartered Bank	03-2381000	6.8%	4.50%	-	Houses RM100k (Completed construction)
