Name	Artist	Album	Genre	Size	Time	Track Number	Track Count	Year	Date	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Comments	Location
Too Da Doo	N/A	N/A	N/A	51857	12	0			2002-01-20 01:38:26-08	2002-01-20 01:38:26-08	32	22050		MPEG AUDIO FILE		Toodadoo.mp3
The Makers	Daniel Lanois	N/A	Rock	3944667	246	0			2002-02-26 01:16:49-08	2002-02-26 01:16:49-08	128	44100		MPEG AUDIO FILE		MP3031/DANIELLANOI/UNKNOWNALBU/THEMAKER.MP3
Animal	Francis Cabrel	D'une ombre a l'autre vol.1	Pop	5261718	328	2			2002-02-26 01:16:49-08	2002-02-26 01:16:49-08	128	44100		MPEG AUDIO FILE		MP3031/FRANCISCABR/DUNEOMBR1/ANIMAL.MP3
Carte postale	Francis Cabrel	D'une ombre a l'autre vol.1	Pop	4401209	275	14			2002-02-26 01:16:49-08	2002-02-26 01:16:49-08	128	44100		MPEG AUDIO FILE		MP3031/FRANCISCABR/DUNEOMBR1/CARTEPOS.MP3
Je pense encore à toi	Francis Cabrel	D'une ombre a l'autre vol.1	Pop	2487320	155	15			2002-02-26 01:16:49-08	2002-02-26 01:16:49-08	128	44100		MPEG AUDIO FILE		MP3031/FRANCISCABR/DUNEOMBR1/JEPENSEE.MP3
Je sais que tu danses	Francis Cabrel	D'une ombre a l'autre vol.1	Pop	4381512	273	13			2002-02-26 01:16:49-08	2002-02-26 01:16:49-08	128	44100		MPEG AUDIO FILE		MP3031/FRANCISCABR/DUNEOMBR1/JESAISQU.MP3
Je te suivrai	Francis Cabrel	D'une ombre a l'autre vol.1	Pop	5039789	314	7			2002-02-26 01:16:49-08	2002-02-26 01:16:49-08	128	44100		MPEG AUDIO FILE		MP3031/FRANCISCABR/DUNEOMBR1/JETESUIV.MP3
L'encre de tes yeux	Francis Cabrel	D'une ombre a l'autre vol.1	Pop	3730747	233	9			2002-02-26 01:16:49-08	2002-02-26 01:16:49-08	128	44100		MPEG AUDIO FILE		MP3031/FRANCISCABR/DUNEOMBR1/LENCREDE.MP3
Le pas des ballerines	Francis Cabrel	D'une ombre a l'autre vol.1	Pop	8982406	561	1			2002-02-26 01:16:50-08	2002-02-26 01:16:50-08	128	44100		MPEG AUDIO FILE		MP3031/FRANCISCABR/DUNEOMBR1/LEPASDES.MP3
Les murs de poussière	Francis Cabrel	D'une ombre a l'autre vol.1	Pop	3318223	207	5			2002-02-26 01:16:50-08	2002-02-26 01:16:50-08	128	44100		MPEG AUDIO FILE		MP3031/FRANCISCABR/DUNEOMBR1/LESMURSD.MP3
Le temps s'en allait	Francis Cabrel	D'une ombre a l'autre vol.1	Pop	5142614	321	8			2002-02-26 01:16:50-08	2002-02-26 01:16:50-08	128	44100		MPEG AUDIO FILE		MP3031/FRANCISCABR/DUNEOMBR1/LETEMPSS.MP3
Petite Marie	Francis Cabrel	D'une ombre a l'autre vol.1	Pop	3792598	237	4			2002-02-26 01:16:50-08	2002-02-26 01:16:50-08	128	44100		MPEG AUDIO FILE		MP3031/FRANCISCABR/DUNEOMBR1/PETITEMA.MP3
Petite sirène	Francis Cabrel	D'une ombre a l'autre vol.1	Pop	3334935	208	10			2002-02-26 01:16:50-08	2002-02-26 01:16:50-08	128	44100		MPEG AUDIO FILE		MP3031/FRANCISCABR/DUNEOMBR1/PETITESI.MP3
Qu'est-ce que je viens de dire	Francis Cabrel	D'une ombre a l'autre vol.1	Pop	3979027	248	12			2002-02-26 01:16:50-08	2002-02-26 01:16:50-08	128	44100		MPEG AUDIO FILE		MP3031/FRANCISCABR/DUNEOMBR1/QUESTCEQ.MP3
Question d'équilibre	Francis Cabrel	D'une ombre a l'autre vol.1	Pop	3643812	227	11			2002-02-26 01:16:50-08	2002-02-26 01:16:50-08	128	44100		MPEG AUDIO FILE		MP3031/FRANCISCABR/DUNEOMBR1/QUESTION.MP3
Said et Mohamed	Francis Cabrel	D'une ombre a l'autre vol.1	Pop	4070544	254	3			2002-02-26 01:16:50-08	2002-02-26 01:16:50-08	128	44100		MPEG AUDIO FILE		MP3031/FRANCISCABR/DUNEOMBR1/SAIDETMO.MP3
Tourner les hélicos	Francis Cabrel	D'une ombre a l'autre vol.1	Pop	5140523	321	6			2002-02-26 01:16:50-08	2002-02-26 01:16:50-08	128	44100		MPEG AUDIO FILE		MP3031/FRANCISCABR/DUNEOMBR1/TOURNERL.MP3
C'etait l'hiver	Francis Cabrel	D'une ombre a l'autre vol.3	Pop	3754568	234	10			2002-02-26 01:16:50-08	2002-02-26 01:16:50-08	128	44100		MPEG AUDIO FILE		MP3031/FRANCISCABR/DUNEOMBR3/CETAITLH.MP3
Chandelle	Francis Cabrel	D'une ombre a l'autre vol.3	Pop	4133232	258	6			2002-02-26 01:16:50-08	2002-02-26 01:16:50-08	128	44100		MPEG AUDIO FILE		MP3031/FRANCISCABR/DUNEOMBR3/CHANDELL.MP3
Chauffard	Francis Cabrel	D'une ombre a l'autre vol.3	Pop	4251932	265	9			2002-02-26 01:16:51-08	2002-02-26 01:16:51-08	128	44100		MPEG AUDIO FILE		MP3031/FRANCISCABR/DUNEOMBR3/CHAUFFAR.MP3
Dame d'un soir	Francis Cabrel	D'une ombre a l'autre vol.3	Pop	3605773	225	11			2002-02-26 01:16:51-08	2002-02-26 01:16:51-08	128	44100		MPEG AUDIO FILE		MP3031/FRANCISCABR/DUNEOMBR3/DAMEDUNS.MP3
Encore et encore	Francis Cabrel	D'une ombre a l'autre vol.3	Pop	5333618	333	13			2002-02-26 01:16:51-08	2002-02-26 01:16:51-08	128	44100		MPEG AUDIO FILE		MP3031/FRANCISCABR/DUNEOMBR3/ENCOREET.MP3
Je te suivrai	Francis Cabrel	D'une ombre a l'autre vol.3	Pop	4070960	254	3			2002-02-26 01:16:51-08	2002-02-26 01:16:51-08	128	44100		MPEG AUDIO FILE		MP3031/FRANCISCABR/DUNEOMBR3/JETESUIV.MP3
La dame de Haute-Savoie	Francis Cabrel	D'une ombre a l'autre vol.3	Pop	4486422	280	14			2002-02-26 01:16:51-08	2002-02-26 01:16:51-08	128	44100		MPEG AUDIO FILE		MP3031/FRANCISCABR/DUNEOMBR3/LADAMEDE.MP3
La fille qui m'accompagne	Francis Cabrel	D'une ombre a l'autre vol.3	Pop	4620170	288	7			2002-02-26 01:16:51-08	2002-02-26 01:16:51-08	128	44100		MPEG AUDIO FILE		MP3031/FRANCISCABR/DUNEOMBR3/LAFILLEQ.MP3
