antique|Antiques
art|Art
auto|Automotive
baby|Baby Items
book|Books
busi|Business & Industrial
cams|Camera & Photo
clothing|Clothing & Accessories
coin|Coins & Stamps
coll|Collectibles
comic|Comics, Cards & Sci-Fi
comp|Computers & Peripherals
cons|Consumer Electronics
cult|Culture Related
doll|Dolls & Stuffed Animals
dvds|DVDs & Movies
edu|Education & Learning
games|Board & Card Games
gene|Genealogy
gift|Gifts & Party Supplies
hobb|Hobbies & Crafts
home|Home & Garden
inte|Internet
jewe|Jewelry & Gems
misc|Miscellaneous
moto|Motorcycles
music|Music & Instruments
netw|Networking & I.T.
office|Business & Office Supplies
paper|Paper Items
pda|PDA & Handheld
photo|Photographs
pottery|Pottery & Glass
real|Real Estate & Time Shares
reli|Religious
soft|Software
serv|Services
sports|Sports & Recreation
tick|Tickets
tool|Tools
toys|Toys & Games
trav|Travel
tv|Television
vide|Video Games
weird|Weird Stuff
